view,context,shared_components,raw_checkboxes,raw_tables,raw_buttons,raw_visible_inputs,raw_selects,raw_textareas,pill_candidates,fixed_column_candidates
pdf/workshop-month-calendar.blade.php,pdf,0,0,2,0,0,0,0,0,0
pdf/workshop-month-materials-summary.blade.php,pdf,0,0,2,0,0,0,0,0,0
pdf/workshop-month-pick-lists.blade.php,pdf,0,0,1,0,0,0,0,0,0
pdf/workshop-pick-list.blade.php,pdf,0,0,2,0,0,0,0,0,0
pdf/workshop-promotional-flyer.blade.php,pdf,0,0,0,0,0,0,0,0,0
pdf/workshop-ticket-roll.blade.php,pdf,0,0,1,0,0,0,0,0,0
post/index.blade.php,browser,9,0,0,0,0,0,0,0,0
post/show.blade.php,browser,7,0,0,0,0,0,0,0,0
privacy.blade.php,browser,15,0,0,0,0,0,0,0,0
search/partials/store-products.blade.php,browser,9,0,0,0,0,0,0,0,0
search.blade.php,browser,9,0,0,0,0,0,0,0,0
shop/cart.blade.php,browser,19,0,0,0,0,0,0,0,0
shop/checkout.blade.php,browser,34,0,0,0,0,0,0,1,0
shop/index.blade.php,browser,13,0,0,0,0,0,0,0,0
shop/order-download-started.blade.php,browser,5,0,0,0,0,0,0,1,0
shop/order-download-verify.blade.php,browser,6,0,0,0,0,0,0,0,0
shop/order.blade.php,browser,12,0,0,0,0,0,0,8,0
shop/partials/catalog-cart-control.blade.php,browser,4,0,0,0,0,0,0,0,0
shop/partials/catalog-option-control.blade.php,browser,10,0,0,0,0,0,0,0,0
shop/partials/checkout-order-summary.blade.php,browser,8,0,0,0,0,0,0,0,0
shop/partials/checkout-steps.blade.php,browser,1,0,0,0,0,0,0,1,0
shop/partials/flow-summary.blade.php,browser,1,0,0,0,0,0,0,0,0
shop/partials/processing-pause-notice.blade.php,browser,0,0,0,0,0,0,0,0,0
shop/partials/product-details-caution.blade.php,browser,0,0,0,0,0,0,0,0,0
shop/partials/shipping-breakdown.blade.php,browser,0,0,0,0,0,0,0,0,0
shop/payment.blade.php,browser,6,0,0,0,0,0,0,1,0
shop/quote-requested.blade.php,browser,3,0,0,0,0,0,0,0,0
shop/show.blade.php,browser,12,0,0,0,0,0,0,0,1
shop/unavailable.blade.php,browser,5,0,0,0,0,0,0,0,0
sitemap/index.blade.php,browser,0,0,0,0,0,0,0,0,0
sitemap/xml.blade.php,browser,0,0,0,0,0,0,0,0,0
stemcraft/faqs.blade.php,browser,6,0,0,0,0,0,0,1,0
stemcraft/index.blade.php,browser,12,0,0,0,0,0,0,13,0
stemcraft/join.blade.php,browser,8,0,0,0,0,0,0,0,0
stemcraft/rules.blade.php,browser,6,0,0,0,0,0,0,1,0
terms-conditions.blade.php,browser,24,0,0,0,0,0,0,0,0
tickets/invoice-receipts.blade.php,browser,13,0,0,0,0,0,0,0,0
tickets/list.blade.php,browser,25,0,0,0,0,0,0,0,0
tickets/request.blade.php,browser,6,0,0,0,0,0,0,0,0
vendor/mail/html/button.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/html/footer.blade.php,vendor,0,0,1,0,0,0,0,0,0
vendor/mail/html/header.blade.php,vendor,0,0,1,0,0,0,0,0,0
vendor/mail/html/layout.blade.php,vendor,0,0,3,0,0,0,0,0,0
vendor/mail/html/message.blade.php,vendor,6,0,0,0,0,0,0,0,0
vendor/mail/html/panel.blade.php,vendor,0,0,2,0,0,0,0,0,0
vendor/mail/html/subcopy.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/html/table.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/button.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/footer.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/header.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/layout.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/message.blade.php,vendor,4,0,0,0,0,0,0,0,0
vendor/mail/text/panel.blade.php,vendor,0,0,0,0,0,0,0,0,0
vendor/mail/text/subcopy.blade.php,vendor,0,0,0,0,0,0,0,0,0
